customerKey,sex,age,educationLevel
2ca9567004,Female,67,"High school"
2ca4415888,Female,29,College
2caf6d6c44,Male,47,"High school"
2cab92fa01,Male,84,College
2ca2719891,Male,25,"High school"
2ca5bc4007,Female,44,"High school"
2cac50be96,Female,19,"High school"
2cac6b1235,Female,53,Basic
2caedfaa00,Female,29,"High school"
2cac227463,Female,78,"High school"
2ca4c15a58,Male,25,College
2ca2e3bc96,Female,41,"College advanced"
2ca4898870,Male,32,"College advanced"
2cac71fc80,Female,70,College
2cad996a16,Female,65,Basic
2ca8401487,Female,28,"High school"
2cae3dac33,Male,68,"High school"
2caf72d078,Female,67,College
2ca3f9e639,Male,34,"College advanced"
2ca2414665,Male,26,"College advanced"
2cabc60873,Male,60,Basic
2ca84ee292,Female,81,"High school"
2cacebc875,Male,59,"High school"
2cae9f0e38,Male,38,College
2ca4ddde17,Male,31,"High school"
2cac976880,Male,55,"High school"
2cb0f02e73,Male,66,College
2ca4807855,Female,41,"High school"
2ca22d5a84,Female,39,"High school"
2ca22ac662,Female,32,College
2ca2b31a72,Male,32,"High school"
2cb0117282,Female,47,College
2ca29b0008,Male,35,College
2ca6c3ba38,Male,37,"High school"
2cabd9cc56,Male,48,"College advanced"
2cb07fea60,Female,22,"High school"
2cb0f10a93,Male,57,Basic
2ca8f25c73,Female,25,College
2ca92a2422,Female,42,College
2caa76a421,Male,62,"High school"
2cac100419,Female,66,"High school"
2ca61a7871,Male,34,"High school"
2ca5fd2c39,Female,76,"College advanced"
2cad910e71,Male,28,"High school"
2ca3eb5499,Female,37,College
2ca3ffea55,Male,23,"High school"
2ca91c1443,Male,74,"College advanced"
2cafec5633,Female,51,"High school"
2caddc7243,Male,27,College
2cb0329c13,Female,50,"College advanced"
2caacdb613,Male,37,Basic
2ca5c41a24,Female,76,"High school"
2ca6c1e402,Male,27,College
2ca3054a15,Female,41,Basic
2caa911615,Male,55,"High school"
2ca32cfa70,Female,64,"High school"
2ca9fe0466,Female,50,"High school"
2cb02afe28,Female,73,"High school"
2caffa8e13,Male,29,College
2ca338d022,Male,70,"High school"
2caec8d007,Female,47,College
2ca64c7890,Female,57,"High school"
2cb065fa80,Female,53,"High school"
2caafb2e17,Female,58,College
2ca2813871,Female,73,"High school"
2caba5ce74,Male,26,"College advanced"
2caf99c287,Male,75,"High school"
2caf870c86,Female,54,College
2ca84a8266,Female,61,"High school"
2ca61dde55,Female,37,"High school"
2ca86aa867,Male,26,College
2cad0eaa32,Male,40,College
2ca4748450,Male,52,College
2cace00631,Female,78,"High school"
2cad29f841,Female,48,"College advanced"
2ca384f295,Female,60,College
2cb1c46869,Male,42,"High school"
2ca88ea248,Female,35,"High school"
2cac59e295,Male,23,"High school"
2ca349b089,Female,59,"High school"
2ca400c688,Female,22,"College advanced"
2caf35d676,Male,71,"High school"
2ca7205850,Female,48,"High school"
2ca20ffa90,Female,61,"High school"
2ca886dc73,Male,62,Basic
2cae6fe844,Male,25,"High school"
2ca6b81607,Female,46,"High school"
2cae225433,Male,64,"High school"
2caa586858,Female,70,College
2caf148499,Male,22,"High school"
2caab27c95,Female,61,College
2cb10a6e71,Female,63,"High school"
2cb107e481,Male,31,"High school"
2ca968d601,Female,57,"High school"
2ca541f236,Female,26,Basic
2ca42cea09,Male,70,"High school"
2caebd9080,Male,48,"College advanced"
2cad0b6249,Female,66,"High school"
2cad213885,Male,57,"High school"
2cac6be430,Female,59,"High school"
2ca3e12c28,Male,29,Basic
2ca8cb4c02,Female,83,"High school"
2cae58fa72,Female,65,"High school"
2cb2e2bc81,Female,38,"High school"
2cb1036656,Female,42,"College advanced"
2ca7da8468,Male,32,"College advanced"
2cad001854,Male,73,"High school"
2ca5a53e78,Male,62,College
2ca875e835,Female,61,College
2ca52ad286,Female,59,Basic
2cad0dd897,Female,56,Basic
2cac809834,Female,62,"High school"
2ca893ac54,Female,32,"College advanced"
2ca7924a67,Female,38,"High school"
2ca849a691,Female,19,"High school"
2ca7c4c266,Female,62,"College advanced"
2ca5a7f098,Male,72,"High school"
2ca3bb6630,Male,41,"College advanced"
2caeca8855,Female,68,"College advanced"
2cafad4078,Male,55,"High school"
2cb1cfee33,Male,71,"High school"
2ca48bfe82,Male,46,"College advanced"
2caed21c52,Male,46,"High school"
2ca4ef5e37,Female,76,"College advanced"
2ca210e092,Male,67,"High school"
2cab2cd400,Male,49,"High school"
2ca9c20e99,Male,31,"High school"
2caa279e80,Male,39,Basic
2cb03aee17,Female,34,"College advanced"
2ca80b1224,Female,32,"College advanced"
2ca4824477,Female,83,"High school"
2ca78e1270,Male,77,College
2ca8604456,Female,30,"High school"
2cadeae652,Female,70,"High school"
2ca5f46c12,Female,70,"High school"
2cb098a476,Male,69,"High school"
2ca6713009,Female,72,"High school"
2ca932da90,Male,60,"High school"
2ca8f42892,Female,64,College
2cb0075446,Male,66,College
2ca43b0484,Female,81,"High school"
2ca4b7be64,Female,51,"High school"
2cb3259274,Female,51,"High school"
2ca2477292,Female,39,"High school"
2cb167a270,Female,67,College
2ca3937054,Female,55,"High school"
2cae0e9031,Male,20,Basic
2cae2f2459,Male,68,College
2cac687e47,Female,64,College
2ca4976677,Male,72,Basic
2cb2e60e53,Male,69,College
2ca47a5668,Female,72,"High school"
2caf102e67,Male,56,College
2cadd21806,Female,69,College
2cb22d8665,Male,69,College
2ca2a97499,Female,52,"High school"
2caf16fa39,Male,42,"High school"
2caf120416,Female,48,"College advanced"
2cb14f7471,Male,55,College
2ca34c4432,Male,34,"High school"
2cb139e475,Female,32,"High school"
2ca6c49697,Female,22,"High school"
2ca6f8f839,Female,46,College
2caa08ea74,Male,45,College
2cae467617,Female,30,"High school"
2ca5911642,Male,56,College
2ca4acb013,Female,36,"High school"
2ca65bfa46,Female,56,"High school"
2cafd72a30,Male,44,"High school"
2cac25f873,Female,36,"High school"
2cae6ab637,Female,39,College
2cb2ba6c06,Female,20,College
2cb2d0f690,Male,38,"High school"
2cab718a71,Male,26,College
2ca2aa4671,Male,79,"High school"
2caf426a12,Male,60,"High school"
2ca6694c37,Female,56,"High school"
2ca98ab464,Female,18,"High school"
2ca3629c83,Male,28,College
2ca8b9cc07,Male,59,"High school"
2ca36b2a23,Female,64,"High school"
2ca2867e74,Female,55,College
2caa81c652,Female,48,College
2ca4a35089,Female,39,"High school"
2caf377a64,Female,49,College
2ca6fb8c90,Female,47,"College advanced"
2cad861e71,Male,52,Basic
2ca8c7d244,Female,69,Basic
2ca4027e53,Female,37,College
