customerKey,sex,isMarried,isEmployed,hasNewBaby,age,educationLevel,occupationCategory,annualIncome,race,primaryLanguage,childrenNum,avgPurchaseAmount
2ca203a273,Male,0,1,0,66,"High school","Sports, media, and entertainment",70071,White,English,0,259.51
2ca2090640,Female,0,0,0,84,College,NULL,55914,White,Spanish,0,237.96
2ca20a5000,Male,1,1,0,25,"High school",Management,88340,White,English,0,327.10
2ca20b5e90,Male,1,1,0,44,"High school","Business and finance",145745,White,English,0,349.78
a86559e8-5,Female,0,1,0,40,Basic,"Office administrative support",0,"African american",English,0,192.58
2ca20c5887,Male,0,0,0,68,College,NULL,58596,White,Spanish,0,209.58
a8655ab0-5,Female,1,1,0,42,"High school","Office administrative support",21761,White,Spanish,0,263.72
2ca20d4845,Male,1,0,0,75,Basic,NULL,86902,White,English,0,371.87
2ca20e3857,Male,1,0,0,60,"High school",NULL,114300,White,English,0,333.90
2ca20f1e12,Female,0,0,0,73,College,NULL,53928,White,English,0,246.05
2ca20ffa90,Female,1,0,0,61,"High school",NULL,43514,White,Spanish,0,257.81
2ca210e092,Male,0,1,0,67,"High school",Sales,52444,White,English,0,253.65
2ca211bc78,Male,0,1,1,23,"High school","Material production",46773,White,European,3,345.34
97072504-a,Male,0,1,1,23,"High school","Material production",46773,White,European,3,413.24
2ca2129838,Female,0,0,0,73,"High school",NULL,49328,White,Spanish,0,204.08
2ca2137e80,Male,0,1,0,37,College,"Law enforcement",76213,White,English,1,311.92
2ca2145a53,Male,0,1,0,39,"High school","Healthcare practice",69994,Asian,English,4,386.52
a8655b50-5,Male,0,1,0,58,"High school","Business and finance",0,"African american",Spanish,0,218.94
2ca2153644,Female,0,0,0,66,Basic,NULL,60928,White,English,0,258.90
2ca2161220,Male,0,1,0,50,"High school","Material production",43062,"African american",English,0,234.62
2ca216ee68,Male,0,1,0,51,Basic,"Food preparation",44330,White,Spanish,0,238.28
2ca217ca32,Male,0,1,0,35,"College advanced","Office administrative support",176925,White,English,2,399.09
a8655bdc-5,Male,1,1,0,37,"High school","Material production",149352,White,Asian,7,356.58
2ca218a616,Male,1,1,0,37,"High school","Material production",149352,White,Asian,7,388.38
2ca2198237,Female,0,1,0,43,College,"Material production",56042,"African american",English,0,256.23
2ca21a5e46,Male,1,0,0,55,"High school",NULL,130502,White,English,0,345.86
2ca21b3a82,Male,0,1,0,35,College,"Office administrative support",104565,White,English,0,306.90
a8655c5e-5,Male,0,0,0,75,College,NULL,115755,White,Spanish,0,296.78
2ca21c1604,Male,0,0,0,75,College,NULL,115755,White,Spanish,0,243.97
2ca21cf224,Female,0,0,0,73,"College advanced",NULL,78295,White,English,0,202.92
2ca21dd849,Female,0,1,0,34,"High school","Sanitation and maintenance",41246,White,English,3,341.66
a8655d80-5,Male,0,1,0,58,"High school",Education,68724,White,Spanish,0,230.16
2ca21ebe39,Male,0,1,0,58,"High school",Education,68724,White,Spanish,0,240.33
2ca21f9a27,Male,1,1,0,62,"High school",Sales,154645,White,English,0,313.26
2ca2207693,Male,0,1,0,33,College,"Material moving",84470,White,English,4,419.29
2ca2215204,Male,0,1,0,42,College,"Construction and extraction",75323,White,English,0,393.70
a8655e0c-5,Female,0,1,0,32,College,Management,44354,White,English,2,293.83
2ca2230a98,Female,0,1,0,32,College,Management,44354,White,English,2,316.48
2ca223e600,Male,1,1,0,35,"High school","Construction and extraction",146289,White,English,0,380.88
2ca224c251,Male,1,0,0,65,College,NULL,59672,White,Spanish,0,353.14
2ca2259e15,Male,1,1,0,72,College,Management,70240,White,Spanish,0,253.09
2ca2268491,Male,1,1,0,43,College,"Office administrative support",166909,White,English,0,347.30
2ca2275634,Male,0,0,0,70,"High school",NULL,151284,White,English,0,210.69
2ca2283239,Male,0,1,0,34,"High school","Office administrative support",74246,White,English,4,284.21
2ca2290e17,Female,1,1,0,49,"College advanced","Office administrative support",109876,White,English,0,300.89
2ca22ac662,Female,0,1,0,32,College,"Office administrative support",93696,White,Spanish,2,316.11
2ca22ba231,Female,1,1,0,30,"High school",Sales,105237,Asian,English,6,334.76
2ca22c7e43,Male,0,0,0,52,"College advanced",NULL,41325,"African american",Spanish,0,238.52
2ca22d5a84,Female,0,1,0,39,"High school","Healthcare support",78919,White,European,3,271.82
2ca22e3680,Female,1,1,0,28,College,"Sanitation and maintenance",57828,White,Spanish,0,295.83
2ca22f1276,Female,1,1,0,45,Basic,Management,52394,"African american",English,0,310.52
2ca22fee47,Female,0,1,0,25,"High school",Sales,130325,White,English,0,239.83
2ca230ca60,Male,1,1,0,42,"High school",Management,63685,White,English,0,305.69
2ca231a646,Male,1,1,0,22,"High school",Management,43684,White,English,2,312.62
2ca2328203,Female,0,1,0,42,College,"Sanitation and maintenance",122374,White,English,0,280.37
2ca2335e19,Male,1,1,0,59,"High school","Office administrative support",97191,White,Spanish,0,359.70
2ca2343a24,Female,0,1,0,42,"High school",Education,50928,White,English,0,243.08
2ca2350c70,Female,1,1,0,23,College,Sales,57608,White,European,2,313.89
a8655eac-5,Male,1,0,0,26,"High school",NULL,115301,White,English,2,433.22
2ca2361021,Male,1,0,0,26,"High school",NULL,115301,White,English,2,438.75
2ca236ec09,Male,0,0,0,76,"College advanced",NULL,53087,White,English,0,219.80
2ca237d244,Female,0,0,0,24,College,NULL,77505,White,Asian,5,276.24
a8655f2e-5,Male,1,1,0,35,"High school","Business and finance",162762,White,English,2,327.13
2ca238ae24,Male,1,1,0,35,"High school","Business and finance",162762,White,English,2,365.52
2ca2398a48,Female,0,1,0,36,"High school",Transportation,114881,"African american",English,3,352.28
2ca23a6635,Male,0,0,0,21,College,NULL,196478,"African american",Spanish,0,321.62
2ca23b4c06,Male,0,1,0,27,"High school",Legal,64907,White,Spanish,5,384.43
2ca23c2809,Female,0,0,0,71,"High school",NULL,71004,White,Spanish,0,256.42
2ca23d0e35,Female,0,1,0,27,"College advanced",Sales,47480,"African american",Spanish,0,233.56
2ca23dea20,Male,0,1,0,47,College,Sales,65742,"African american",English,0,197.02
2ca23ebc99,Male,0,1,0,39,College,"Business and finance",113496,"African american",English,2,324.33
2ca23f9817,Female,0,1,0,50,College,Transportation,177344,White,English,0,334.36
2ca2407433,Female,1,1,0,57,College,Sales,63946,White,English,0,300.36
2ca2414665,Male,0,1,0,26,"College advanced","Healthcare support",45856,White,English,4,359.80
a86560b4-5,Male,1,1,0,36,"College advanced",Management,0,White,English,4,245.05
2ca2422209,Male,0,1,0,55,"High school",Management,92155,White,English,0,233.27
2ca242fe97,Female,1,1,0,57,Basic,"Business and finance",66954,White,English,0,313.34
2ca243da70,Male,0,0,0,23,"High school",NULL,82596,White,English,1,354.71
2ca244de98,Male,1,1,0,58,"High school",Transportation,146565,White,English,0,375.65
2ca245ba21,Female,0,1,0,45,"High school",Education,45419,"African american",European,0,231.44
2ca2469643,Female,0,1,0,29,"High school","Office administrative support",172648,White,English,0,311.50
2ca2477292,Female,0,1,0,39,"High school","Machine maintenance",71109,"African american",English,4,261.39
2ca2485879,Male,0,1,0,52,Basic,"Sanitation and maintenance",74619,White,European,0,266.06
2ca2493406,Female,1,0,0,25,"High school",NULL,68553,White,English,4,336.49
2ca24a1073,Female,0,0,0,79,Basic,NULL,45023,White,English,0,238.27
2ca24ae258,Male,1,1,0,28,College,Sales,62473,White,English,0,322.92
2ca24bbe30,Female,1,1,0,55,College,Sales,63455,White,English,0,240.48
2ca24c9046,Male,0,1,0,36,"High school","Healthcare support",85255,White,English,0,289.35
2ca24d7607,Male,0,1,0,33,College,"Office administrative support",122647,White,English,2,405.73
2ca24e5299,Male,0,1,0,64,Basic,Sales,45200,White,English,0,248.51
2ca24f6097,Female,1,0,0,19,"High school",NULL,99652,Asian,English,0,364.90
2ca2505004,Female,1,1,0,61,College,"Office administrative support",141000,White,Spanish,0,291.50
2ca2512c14,Female,0,1,0,49,"College advanced","Office administrative support",104286,White,English,0,249.80
2ca2520892,Male,1,1,0,44,"High school","Construction and extraction",124885,White,Spanish,0,328.76
2ca252e480,Female,0,1,0,35,"High school",Management,71990,"African american",English,2,310.93
2ca253c057,Female,1,1,0,32,College,"Sanitation and maintenance",109846,White,European,2,489.67
2ca2549c07,Male,1,1,0,42,"High school",Transportation,111590,White,English,0,365.60
a8656226-5,Female,1,0,0,34,College,NULL,82298,White,English,4,356.72
2ca2556e93,Female,1,0,0,34,College,NULL,82298,White,English,4,353.94
2ca2565485,Female,1,0,0,67,"High school",NULL,125226,White,Spanish,0,376.43
2ca2573003,Female,1,0,0,76,Basic,NULL,108648,White,English,0,325.15
2ca2580c60,Male,0,0,0,52,"High school",NULL,85777,Asian,Spanish,0,253.15
2ca258de60,Male,0,1,0,46,"College advanced",Sales,63727,"African american",English,0,225.66
a865629e-5,Male,1,0,0,22,College,NULL,0,White,English,1,225.31
2ca259ba80,Male,1,1,0,32,"High school",Management,80377,White,European,2,471.37
2ca25a9691,Female,0,0,0,81,"High school",NULL,48033,"African american",Spanish,0,234.26
2ca25b7280,Female,1,0,0,41,"High school",NULL,157206,White,European,0,316.33
2ca25c5805,Male,0,1,0,47,"College advanced","Healthcare support",149640,White,Spanish,0,273.20
2ca25d3465,Female,0,0,0,21,"High school",NULL,81634,"African american",English,4,360.16
2ca25e1089,Female,1,1,0,63,College,Management,128625,White,Spanish,0,382.73
2ca25ee242,Female,0,0,0,24,"High school",NULL,190555,White,Spanish,4,416.15
2ca25fbe84,Female,1,1,0,54,"High school","Fire and safety",61547,White,European,0,311.72
2ca2609a86,Male,1,1,0,32,Basic,"Healthcare support",170852,White,English,0,406.33
2ca2617692,Male,1,1,0,40,College,Sales,98798,White,English,0,329.73
2ca2625235,Male,1,1,0,43,College,Sales,40531,White,English,0,257.60
2ca2632430,Female,1,1,0,34,"High school",Management,81883,"African american",Spanish,2,377.27
a865638e-5,Female,1,1,0,28,College,"Fire and safety",41427,"African american",English,0,243.10
2ca2640003,Female,1,1,0,28,College,"Fire and safety",41427,"African american",English,0,283.81
2ca264dc29,Male,1,1,0,60,College,"Social services",90661,White,English,0,371.25
2ca265ae71,Male,1,1,0,22,College,"Food preparation",87543,White,English,1,392.34
2ca2668a05,Male,1,1,0,37,"High school","Office administrative support",199220,White,English,0,305.24
2ca2676619,Female,0,1,0,42,Basic,"Food preparation",48402,White,English,0,289.42
2ca2684299,Male,1,0,0,19,"College advanced",NULL,73705,White,English,4,257.83
2ca2691e25,Male,0,0,0,73,"High school",NULL,79273,White,Asian,0,236.20
2ca269fa15,Male,1,0,0,77,"College advanced",NULL,89132,White,English,0,340.64
2ca26ad647,Male,1,1,0,52,"High school","Food preparation",48569,White,Spanish,0,332.93
2ca26ba875,Female,1,0,0,71,College,NULL,74310,White,English,0,262.70
2ca26c8404,Female,1,0,0,40,"College advanced",NULL,101071,White,English,4,440.10
2ca26d5621,Female,1,1,0,33,"High school","Social services",164047,White,English,3,424.66
a8656500-5,Female,1,1,1,38,"High school",Sales,125663,"African american",English,1,460.10
2ca26e3231,Female,1,1,1,38,"High school",Sales,125663,"African american",English,1,471.96
2ca26f0486,Male,1,1,0,22,College,"Machine maintenance",130189,White,Spanish,4,332.49
2ca26fe059,Male,0,0,0,38,Basic,NULL,96780,White,English,5,343.14
a8656578-5,Male,0,1,0,35,College,"Office administrative support",16683,White,English,2,227.33
2ca270bc06,Male,0,1,0,26,"College advanced","Food preparation",194389,White,Spanish,2,357.25
2ca2719891,Male,0,0,0,25,"High school",NULL,59694,White,English,3,298.31
2ca2727412,Female,1,1,0,56,"College advanced",Management,41224,White,Spanish,0,306.42
2ca2735039,Female,0,1,0,36,"High school",Sales,67565,White,English,1,326.64
2ca2742240,Male,1,0,0,62,"High school",NULL,68777,White,English,0,305.31
a86565f0-5,Female,0,1,0,44,"High school","Food preparation",88829,White,English,0,348.91
2ca274fe79,Female,0,1,0,44,"High school","Food preparation",88829,White,English,0,331.62
a8656672-5,Female,0,1,0,45,"High school",Sales,149746,Asian,English,0,268.54
2ca275d045,Female,0,1,0,45,"High school",Sales,149746,Asian,English,0,255.37
2ca276b626,Female,0,1,0,39,"High school","Business and finance",174042,White,Spanish,0,252.88
2ca2779c40,Female,0,1,0,62,"High school",Management,70225,White,English,0,251.44
2ca2787874,Male,1,0,0,21,"High school",NULL,121316,White,English,4,328.00
a8656762-5,Female,0,0,0,64,"High school",NULL,105250,White,English,0,250.32
2ca27a3096,Female,0,0,0,64,"High school",NULL,105250,White,English,0,247.41
2ca27b0c08,Female,1,1,0,48,"High school","Sanitation and maintenance",68046,White,Asian,0,247.27
2ca27bde28,Female,0,1,0,31,College,Sales,66582,White,English,4,318.00
2ca27cba45,Female,0,1,0,49,College,Management,75903,White,English,0,227.89
a86567da-5,Female,0,1,0,39,"High school","Healthcare technology",172635,White,English,1,302.44
2ca27d9683,Female,0,1,0,39,"High school","Healthcare technology",172635,White,English,1,338.56
2ca27e7201,Male,1,1,0,40,Basic,Management,59698,"African american",English,3,352.52
2ca27f4e48,Male,1,0,0,36,College,NULL,46696,White,Spanish,2,316.91
2ca2813871,Female,1,0,0,73,"High school",NULL,146410,Hawaiian,European,0,377.64
2ca2822898,Female,1,1,0,47,College,"Machine maintenance",47418,White,Spanish,0,269.21
2ca2830e73,Female,0,1,0,44,"High school","Construction and extraction",45630,White,Asian,0,215.21
a86568ca-5,Male,1,1,0,21,"High school","Software engineering and math",1299,White,English,2,275.46
a865694c-5,Male,0,1,0,49,College,"Business and finance",26195,"African american",English,0,159.97
2ca283ea41,Male,0,1,0,52,College,"Construction and extraction",84451,"African american",English,0,288.97
2ca284c625,Female,1,0,0,67,"High school",NULL,52673,"African american",Spanish,0,271.90
2ca285a224,Female,0,1,0,67,Basic,Sales,48737,White,English,0,227.05
2ca2867e74,Female,1,1,0,55,College,"Social services",74493,White,English,0,283.47
2ca2875a56,Male,0,1,0,49,Basic,Management,144423,White,Spanish,0,209.88
2ca2883612,Male,0,1,0,38,"High school","Healthcare technology",103153,White,English,4,433.25
2ca2891211,Female,0,0,0,69,"College advanced",NULL,109888,White,English,0,291.36
a86569c4-5,Male,1,1,0,54,Basic,Transportation,0,White,Spanish,0,292.18
2ca289ee86,Male,0,1,0,45,"High school","Office administrative support",130123,White,Spanish,0,296.61
2ca28aca75,Male,1,0,0,81,College,NULL,68879,White,English,0,279.53
2ca28ba697,Female,0,1,0,57,Basic,"Software engineering and math",57611,White,English,0,225.97
2ca28c8242,Male,0,1,0,48,"High school","Office administrative support",85533,"African american",Spanish,0,315.17
2ca28d5465,Female,1,1,0,43,College,Sales,143196,White,English,0,378.41
2ca28e3a75,Female,0,1,0,30,College,"Office administrative support",89490,"African american",English,5,452.18
2ca28f0c73,Female,0,1,0,55,"College advanced","Material moving",79207,White,English,0,248.72
2ca28fe843,Male,1,0,0,34,College,NULL,110430,White,English,0,375.38
2ca290c415,Female,0,0,0,69,"College advanced",NULL,41945,Mixed,English,0,204.27
2ca2919669,Male,1,1,0,60,"High school","Office administrative support",109475,White,English,0,299.44
2ca2927259,Male,0,1,0,35,College,"Business and finance",96737,White,English,3,311.07
2ca2934e87,Female,1,0,0,61,"High school",NULL,40202,White,English,0,269.15
2ca2942a16,Male,1,0,0,83,College,NULL,58718,White,Spanish,0,277.12
2ca294fc91,Male,1,1,0,28,"High school","Food preparation",54619,White,English,3,372.09
2ca295d881,Female,0,1,0,48,"College advanced",Management,107293,White,English,0,276.33
2ca296b494,Female,1,1,0,41,Basic,"Healthcare support",198693,White,Asian,0,339.11
a8656b36-5,Female,0,1,0,58,"High school",Management,0,"African american",Spanish,0,265.93
2ca2979001,Male,0,1,0,73,"High school","Personal care",52935,White,Spanish,0,288.82
2ca2986c45,Male,1,1,0,29,"High school",Transportation,141737,"African american",European,3,358.27
2ca2994864,Female,0,0,0,82,"High school",NULL,91725,White,English,0,348.98
2ca29a2433,Male,1,0,0,40,"College advanced",NULL,104065,White,English,1,364.96
2ca29b0008,Male,1,1,0,35,College,Education,125977,White,English,2,368.40
2ca29bdc86,Female,0,1,0,26,"High school","Construction and extraction",85378,White,Spanish,6,336.48
2ca29cb864,Male,1,1,0,47,"High school",Transportation,115503,"African american",English,0,374.83
2ca29d8a66,Female,1,1,0,25,College,"Sanitation and maintenance",49657,White,English,0,278.77
a8656c30-5,Female,0,1,0,44,"High school","Healthcare practice",45086,White,English,0,229.08
2ca29e6692,Female,0,1,0,44,"High school","Healthcare practice",45086,White,English,0,232.56
2ca29f4227,Male,1,0,0,83,Basic,NULL,79386,White,English,0,323.28
a8656ca8-5,Female,1,0,0,29,College,NULL,8047,White,Spanish,3,292.16
a8656d98-5,Male,1,1,0,54,"High school",Legal,36158,White,English,0,256.82
2ca2a01464,Male,1,1,0,54,"High school","Food preparation",174883,White,Spanish,0,341.74
2ca2a0f017,Male,1,1,0,28,Basic,"Software engineering and math",145714,Asian,Spanish,7,421.54
a8656e10-5,Male,1,1,0,20,"High school","Social services",115029,White,English,3,314.65
2ca2a1cc18,Male,1,1,0,20,"High school","Social services",115029,White,English,3,324.32
2ca2a2a807,Male,1,0,0,64,"High school",NULL,115934,White,English,0,365.92
a8656e88-5,Male,1,1,0,27,"High school","Healthcare support",0,White,English,3,284.05
2ca2a38437,Male,0,1,0,19,"High school","Personal care",72679,White,English,1,272.10
2ca2a45675,Female,0,0,0,56,"High school",NULL,92195,White,Spanish,0,261.03
2ca2a53290,Male,1,1,0,50,College,Legal,50771,White,English,0,307.39
2ca2a60e79,Male,0,0,0,78,College,NULL,96531,White,English,0,250.65
2ca2a6ea03,Female,0,1,0,42,"High school","Business and finance",122775,"African american",European,0,327.27
2ca2a7bc14,Female,1,1,0,40,"High school",Sales,155862,White,English,4,435.46
2ca2a89880,Female,0,0,0,24,Basic,NULL,73550,White,Spanish,0,353.27
2ca2a97499,Female,0,1,0,52,"High school","Food preparation",145498,White,English,0,224.83
